fromHarbor,toHarbor,ship,shippingFirm,passengers,vehicles,position,seatNumber,discount,price,departureDate,departureTime,arrivalTime,gender,birth_date,nationality,phone_number,firstName,lastName,email,cardNumber,creditName,creditSurame,creditExpiration
"Volos, Greece (VOL)","Pachi, Greece (PME)",APOLLON HELLAS,SARONIC FERRIES,9.0,2.0,Cabin-4 Beds [A4K],67.0,Three Children,81.7466725536334,2023-02-24,22:48:01,1900-01-02 07:33:01,F,1983-03-31,Czech Republic,7577002627,Brittany,Marshall,Brittany.Marshall@gmail.com,GB56DNVI01625025665407,Brittany,Marshall,01/29
"Moudhros, Greece (MDR)","Ithaki (Ithaca), Greece (ITH)",BLUE STAR PAROS,AEGEAN FLYING DOLPHINS,9.0,2.0,Cabin-2 Beds (Ext.) [A2],227.0,Retired NAT,68.45995773730606,2012-04-19,16:34:53,1900-01-02 04:41:53,F,1993-09-08,Lesotho,+1-813-553-4366,Andrea,Ray,Andrea.Ray@gmail.com,GB14VAQI02373733136574,Andrea,Ray,04/25
"KOTRONAS LAKONIAS, Greece (757)","Politika, Greece (PTK)",F/B ELEFTHERIOS VENIZELOS,SAOS,5.0,2.0,Aviation Seat [ATS],262.0,Three Children,36.46776898616051,2013-06-16,03:20:40,1900-01-01 06:07:40,F,2002-11-17,Rwanda,363-802-9474,Latoya,Austin,Latoya.Austin@gmail.com,GB17VXTL59290918759896,Latoya,Austin,02/24
"Yerakini, Greece (YER)","Kastos Island, Greece (KSI)",EKATERINI P,SEAJETS,5.0,2.0,Cabin-2 Beds (Ext.) [A2],434.0,Three Children,91.5730391660807,2018-11-16,18:13:14,1900-01-01 20:52:14,F,1986-01-04,Botswana,053.913.9970,Jamie,Simmons,Jamie.Simmons@gmail.com,GB80MNPQ05541985923272,Jamie,Simmons,02/29
"PORTO KARRA KHALKIDIKES, Greece (854)","Lavrion (Laurium), Greece (LAV)",FIOR DI LEVANTE,SEAJETS,6.0,2.0,Cabin-4 Beds (Ext.) [A4],475.0,College Student,44.38537259443876,2002-03-22,05:02:31,1900-01-01 18:46:31,F,2004-01-20,Dominican Republic,272.091.5096,Angela,Lee,Angela.Lee@gmail.com,GB77MEBU82770108238329,Angela,Lee,11/32
"Sougia Chanion, Greece (SOG)","Lakkion, Greece (PKK)",FLYINGCAT 6,TRITON FERRIES,5.0,3.0,Cabin-3 Beds (Ext.) [A3],479.0,Having many children,81.31357283870929,2015-06-16,00:07:45,1900-01-01 17:08:45,M,1980-08-03,Malawi,2998699657,Kevin,Robinson,Kevin.Robinson@gmail.com,GB47RCSO09045432734738,Kevin,Robinson,05/23
"PANORMITES SUMES, Greece (088)","Soupri, Greece (SOR)",KERKYRA EXPRESS,KATEROS,7.0,6.0,Cabin-3 Beds (Ext.) [A3],20.0,No discount,88.26198945478347,2009-03-19,18:56:55,1900-01-02 11:39:55,M,1983-03-13,Seychelles,732.276.6596,David,Chavez,David.Chavez@gmail.com,GB05KTBU74429352573254,David,Chavez,10/23
"Paxi, Greece (PAX)","Oia Kyklades, Greece (OIK)",F/B KRITI I,AGIA MARINI NE,4.0,4.0,Cabin-4 Beds [AB4],164.0,Having many children,42.160300693511346,1981-11-02,03:58:21,1900-01-01 17:06:21,M,1989-07-30,Spain,986-936-2038,Jeremy,Palmer,Jeremy.Palmer@gmail.com,GB28LDQB53242592122594,Jeremy,Palmer,03/30
"RAKHAI PHTHIOTIDAS, Greece (825)","Limni, Greece (LII)",AGIA THEODORA,TWOWAY FERRIES,1.0,1.0,Cabin-3 Beds [AB3],259.0,Having many children,22.195213249930262,1992-07-14,02:23:38,1900-01-01 06:06:38,F,2002-05-30,Algeria,9826493312,Tara,Graham,Tara.Graham@gmail.com,GB53CKTB61904071738995,Tara,Graham,01/30
"MAKRONISOS, Greece (856)","Platygiali Etoloakarnanias, Greece (PLG)",Η/S/F FESTOS PALACΕ,ANEK LINES,8.0,8.0,"Deck/Living Room [D] ",307.0,College Student,38.697722088650565,2020-07-06,16:59:15,1900-01-01 22:37:15,M,1972-07-13,Macao,404.807.3526,Taylor,Giles,Taylor.Giles@gmail.com,GB82UEVF88866385181644,Taylor,Giles,11/28
"Kos, Greece (KGS)","Kalymnos, Greece (KMI)",SUPERJET,"ZANTE FERRIES ",7.0,5.0,Aviation Seat [ATS],114.0,College Student,43.0139972838323,2009-01-30,18:27:24,1900-01-01 21:00:24,F,1995-08-29,Niger,001-609-252-9520,Joy,Thompson,Joy.Thompson@gmail.com,GB85LMTG99059817652924,Joy,Thompson,04/32
"Palaia Fokaia, Greece (PFA)","Stavrochorion, Greece (SCR)",SMYRNA DI LEVANTE,SARONIC FERRIES,3.0,1.0,Cabin-4 Beds [A4K],340.0,College Student,68.34416393209366,1974-05-21,02:38:34,1900-01-01 06:01:34,M,1989-04-02,Argentina,(718)112-2766,Cameron,Holmes,Cameron.Holmes@gmail.com,GB41AEGN62395088200272,Cameron,Holmes,04/24
"Pachi, Greece (PME)","NIKETE KHALKIDIKES, Greece (796)",VENUS 1,SEAJETS,6.0,2.0,Cabin-2 Beds [A2K],149.0,Having many children,10.51803898254229,1996-04-05,15:28:47,1900-01-01 16:39:47,M,1987-03-26,Slovakia (Slovak Republic),148.510.5779,Jeremy,Rollins,Jeremy.Rollins@gmail.com,GB91BILE82260526781022,Jeremy,Rollins,01/32
"Katapola, Greece (KTP)","Agia Efimia, Greece (AEF)",PROTEAS,SEBECO LINES,6.0,6.0,Cabin-4 Beds [A4K],146.0,No discount,27.1445494646169,1979-10-20,03:14:11,1900-01-01 20:54:11,M,1998-03-05,Holy See (Vatican City State),867-191-1974,Jonathan,Ballard,Jonathan.Ballard@gmail.com,GB72WNCR07181033805792,Jonathan,Ballard,08/25
"KHOREUTO BOLOU, Greece (847)","Nea Moudhania, Greece (NMA)",SPEEDCAT 1,SAOS,1.0,1.0,Cabin-3 Beds [AB3],388.0,Three Children,11.026721297172507,1994-11-04,17:12:25,1900-01-02 03:56:25,M,2004-04-26,Antigua and Barbuda,+1-620-570-2844,Sean,Jones,Sean.Jones@gmail.com,GB19FVVH78670965394142,Sean,Jones,10/32
"KOTRONAS LAKONIAS, Greece (757)","Thira, Greece (JTR)",AGIA THEODORA,AGIA MARINI NE,4.0,1.0,Aviation Seat [ATS],236.0,No discount,33.09025199848668,1989-02-10,22:29:09,1900-01-02 11:04:09,F,1988-03-23,Tuvalu,2493362423,Tina,Parker,Tina.Parker@gmail.com,GB33WJUV88418029887127,Tina,Parker,03/24
"Perama Geras Mytilinis, Greece (PGM)","Psakhna, Greece (PSA)",F/B PORFYROUSA,ALPHA LINES,3.0,3.0,Cabin-2 Beds [A2K],39.0,Having many children,27.0436823379016,1999-07-10,22:00:21,1900-01-02 03:07:21,M,2000-12-29,Philippines,(901)786-5832,Melvin,Jackson,Melvin.Jackson@gmail.com,GB29IAIJ55056373057186,Melvin,Jackson,11/32
"Rhodes, Greece (RHO)","Petra, Greece (PLV)",ANDROS JET,DODEKANISSOS SEAWAYS,1.0,1.0,Aviation Seat [ATS],295.0,Hoplites,88.72036290931102,1973-08-30,13:30:28,1900-01-02 01:18:28,F,1976-03-30,Nauru,3716779509,Lisa,Erickson,Lisa.Erickson@gmail.com,GB20CZQU69335044690372,Lisa,Erickson,07/27
"Herakleia Kykladon, Greece (HRK)","SUKAMINEA LESBOU, Greece (834)",ARTEMIS,IONION PELAGOS NE,3.0,3.0,Cabin-2 Beds (Ext.) [A2],227.0,Retired NAT,46.60699468704954,2012-11-23,04:41:13,1900-01-01 06:45:13,M,1973-01-18,Western Sahara,0298165769,Dale,Garcia,Dale.Garcia@gmail.com,GB50GUON50084164667721,Dale,Garcia,12/28
"Nea Moudhania, Greece (NMA)","Glyfada Saronikou, Greece (GFD)",EKATERINI P,ΑΤΤΙCA GROUP,6.0,3.0,Cabin-3 Beds [AB3],7.0,Retired NAT,92.4338101714954,1998-07-14,14:06:33,1900-01-01 19:20:33,M,1998-10-04,Malawi,410.025.1204,Caleb,Everett,Caleb.Everett@gmail.com,GB90ABYS60650814186206,Caleb,Everett,04/25
"Salamis, Greece (SAL)","MOURTOS THESPROTIAS, Greece (781)",AERO 1 HIGHSPEED,AEGEAN FLYING DOLPHINS,2.0,2.0,Cabin-4 Beds [A4K],254.0,Having many children,38.13985225587399,1982-08-27,21:43:08,1900-01-02 09:14:08,M,1977-04-06,Japan,001-684-986-1478,Christopher,Baldwin,Christopher.Baldwin@gmail.com,GB14DGDT49531360459735,Christopher,Baldwin,05/31
"Hydra (Idhra), Greece (HYD)","Pissaetos Ithakis, Greece (PIS)",AERO 1 HIGHSPEED,FAST FERRIES,1.0,1.0,Cabin-3 Beds (Ext.) [A3],221.0,No discount,19.138594877486774,1996-06-14,02:03:24,1900-01-01 15:27:24,M,1985-06-04,South Africa,(236)840-7232,Tim,Chase,Tim.Chase@gmail.com,GB06LEPU43321833352659,Tim,Chase,01/24
"Agios Nikolaos Fokidas, Greece (AGF)","AGIOS IOANNES MAGNESIAS, Greece (705)",H/S/F OLYMPIC CHAMPION,KATEROS,6.0,7.0,Cabin-4 Beds (Ext.) [A4],383.0,College Student,24.449340904896864,1998-01-02,00:31:35,1900-01-01 02:45:35,M,1994-10-26,Turks and Caicos Islands,(777)688-4684,Matthew,Allen,Matthew.Allen@gmail.com,GB60JHIP59868825261012,Matthew,Allen,08/30
"Galatas Troizinas, Greece (GAL)","Chalkida, Greece (CLK)",CORFU SPIRIT,NOVA FERRIES,10.0,6.0,Cabin-4 Beds [A4K],160.0,Having many children,71.05283206563814,2013-03-17,08:52:52,1900-01-01 16:59:52,M,1993-08-16,Macedonia,163.852.8089,Keith,Hill,Keith.Hill@gmail.com,GB52HWPM53828325127412,Keith,Hill,07/23
"Adamas Milos, Greece (ADL)","Myrtos Beach, Greece (MYB)",CONTESSA DI LEVANTE,ANES FERRIES,2.0,2.0,Aviation Seat [ATS],467.0,College Student,83.75167641855379,2005-03-20,15:34:12,1900-01-02 06:05:12,M,1995-02-17,Gabon,(449)131-0239,Edward,Young,Edward.Young@gmail.com,GB11KRZV39367791156776,Edward,Young,09/30
"Monemvasia, Greece (MON)","Skaloma, Greece (SKM)",NISOS KALIMNOS,SEA SPEED FERRIES,3.0,4.0,Cabin-2 Beds (Ext.) [A2],466.0,No discount,84.22802299450491,2021-09-17,09:40:21,1900-01-01 10:53:21,F,1992-10-16,Pitcairn Islands,2185193631,Theresa,Dean,Theresa.Dean@gmail.com,GB18NPZJ11449028696572,Theresa,Dean,05/30
"Istanbul, Greece (TR-IST)","PSATHOPURGOS AKHAIAS, Greece (848)",ANDREAS KALVOS,SEBECO LINES,6.0,5.0,Aviation Seat [ATS],408.0,Retired NAT,73.01178830216924,1984-11-05,15:24:06,1900-01-02 02:49:06,M,2001-05-13,Cocos (Keeling) Islands,(435)363-1205,William,Shah,William.Shah@gmail.com,GB62TTOC55137418052456,William,Shah,01/26
"Palaia Epidavros, Greece (PEP)","KALLONE LESBOU, Greece (743)",HSC CAT,KARISTIA,5.0,1.0,Cabin-4 Beds [AB4],441.0,College Student,67.48714961256273,1997-04-06,14:01:18,1900-01-01 19:36:18,M,1971-10-30,Guinea-Bissau,(874)626-8757,Robert,Martin,Robert.Martin@gmail.com,GB16VJWR06456498143934,Robert,Martin,04/27
"Plakias Rethimnou, Greece (ALG)","Skopelos, Greece (SKO)",ACHAIOS,NOVA FERRIES,10.0,4.0,Cabin-2 Beds (Ext.) [AA2],233.0,Hoplites,49.29862422128173,2010-05-16,09:34:44,1900-01-01 16:06:44,F,2000-07-22,Hong Kong,523-570-4075,Angela,Manning,Angela.Manning@gmail.com,GB14GBXR82026730773302,Angela,Manning,10/31
"Agia Roumeli, Greece (ROU)","KORTHION ANDROU, Greece (755)",ADAMANTIOS KORAIS,ΑΤΤΙCA GROUP,5.0,3.0,Cabin-4 Beds (Ext.) [A4],362.0,No discount,99.26562817870231,1996-02-09,04:38:08,1900-01-01 12:46:08,M,1995-03-22,Martinique,(929)271-0691,Kevin,Campbell,Kevin.Campbell@gmail.com,GB10GIBG99780831345748,Kevin,Campbell,10/26
"Samos, Greece (SMI)","Pythagoreion, Greece (PYT)",F/B IONIS,ΑΤΤΙCA GROUP,10.0,10.0,"Deck/Living Room [D] ",39.0,Having many children,44.18956782898806,2002-03-03,20:57:02,1900-01-02 03:25:02,F,1990-03-14,Australia,318.273.0255,Susan,Cruz,Susan.Cruz@gmail.com,GB61QGAH64504939986400,Susan,Cruz,11/28
"MOURTOS THESPROTIAS, Greece (781)","Petries Evvoias, Greece (PRE)",CHAMPION JET1,MIKRES KYKLADES,5.0,3.0,Cabin-2 Beds (Ext.) [A2],454.0,College Student,21.1158021596986,1990-02-16,16:55:59,1900-01-02 06:31:59,F,1976-06-19,Senegal,5132548442,Alison,Wallace,Alison.Wallace@gmail.com,GB17WTQW67379968238287,Alison,Wallace,12/23
