fromHarbor,toHarbor,ship,shippingFirm,passengers,vehicles,position,seatNumber,discount,price,departureDate,departureTime,arrivalTime,gender,birth_date,nationality,phone_number,firstName,lastName,email,cardNumber,creditName,creditSurame,creditExpiration
"Agia Marina Aiginas, Greece (AMR)","Neon Karlovasion, Greece (KAR)",F/B IONIS,AGIA MARINI NE,4.0,3.0,Cabin-4 Beds (Ext.) [A4],99.0,Retired NAT,22.508646681719142,2017-03-08,08:51:52,1900-01-02 04:08:52,M,1972-12-29,Zimbabwe,(529)815-8640,Tommy,Herring,Tommy.Herring@gmail.com,GB11XIXP10778552730574,Tommy,Herring,11/31
"Parga, Greece (PAR)","Mirina, Greece (MYR)",AQUA BLUE,MINOAN LINES,1.0,1.0,Aviation Seat [ATS],466.0,No discount,45.42001849343417,2006-01-27,09:08:23,1900-01-01 14:43:23,M,1997-10-11,Bahrain,822-163-9586,Joshua,Harper,Joshua.Harper@gmail.com,GB89OYYN73318259183823,Joshua,Harper,10/28
"Tilos, Greece (TIL)","Karkinagri Ikarias, Greece (KAG)",EKATERINI P,AGIA MARINI NE,4.0,3.0,Cabin-3 Beds [AB3],90.0,No discount,82.41154587903883,1971-09-03,17:06:23,1900-01-02 10:16:23,F,1987-10-09,Peru,914.859.6956,Donna,Blackburn,Donna.Blackburn@gmail.com,GB26OBPN34204631058990,Donna,Blackburn,02/33
"Lipsoi, Greece (LIP)","Fournoi, Greece (FOU)",SIFNOS JET,IONION PELAGOS NE,10.0,9.0,Cabin-3 Beds (Ext.) [A3],297.0,Retired NAT,10.173487951877718,2021-07-12,05:15:08,1900-01-01 09:42:08,M,2004-09-30,Isle of Man,314-843-6924,Michael,Rivas,Michael.Rivas@gmail.com,GB02DVZN11575299778266,Michael,Rivas,04/28
"Edipsos, Greece (EDI)","Agia Galini Rethimnou, Greece (PIL)",FLYINGCAT 3,IONION PELAGOS NE,10.0,2.0,Cabin-4 Beds (Ext.) [A4],140.0,Retired NAT,37.32382671951229,1994-07-21,13:21:03,1900-01-02 08:32:03,F,1995-02-19,Netherlands,8129540317,Ashley,Coleman,Ashley.Coleman@gmail.com,GB52FGQV27389085009238,Ashley,Coleman,09/32
"Syros (Syra), Greece (JSY)","Larymna, Greece (LRY)",FLYINGCAT 4,ANES FERRIES,10.0,8.0,Cabin-4 Beds [A4K],440.0,College Student,26.293746924798544,1996-09-06,11:57:13,1900-01-02 00:07:13,M,2002-05-06,Slovenia,642-170-0897,James,Werner,James.Werner@gmail.com,GB97DTGG13858982738480,James,Werner,06/27
"Ancona, Greece (ITAOI)","Amaliapolis, Greece (APL)",ACHAIOS,ANEK LINES,3.0,2.0,Cabin-2 Beds (Ext.) [A2],89.0,Retired NAT,72.05361621847753,1995-03-17,05:16:41,1900-01-01 17:48:41,M,1980-02-26,San Marino,2966223969,George,Dixon,George.Dixon@gmail.com,GB76BIHP21860637674183,George,Dixon,08/30
"Agios Stefanos Corfu, Greece (ASF)","Andros, Greece (AND)",BLUE HORIZON,FAST FERRIES,10.0,1.0,Cabin-2 Beds (Ext.) [A2],425.0,Retired NAT,35.82916636570552,2023-07-14,09:31:48,1900-01-01 20:49:48,F,1982-04-26,Palestinian Territory,2621467336,Denise,Martinez,Denise.Martinez@gmail.com,GB51VGOZ68409620124297,Denise,Martinez,09/29
"Meganisi, Greece (MGN)","Oropos, Greece (ORO)",PANAGIA SPILIANI,KERKYRAIKES GRAMMES,5.0,3.0,Deck/Living Room [D] ,427.0,Having many children,92.24304402463916,2023-06-01,09:17:13,1900-01-02 04:44:13,M,1987-10-31,Cayman Islands,001-453-010-7606,Bruce,Barrett,Bruce.Barrett@gmail.com,GB31YKKP20471624287907,Bruce,Barrett,09/26
"Thessi Kyrillo, Greece (TKO)","Kalamos Island (Lefkada), Greece (KAI)",HSC CAT,ZANTE FERRIES ,5.0,2.0,Cabin-3 Beds [AB3],351.0,College Student,28.772101558887528,1984-03-12,05:23:02,1900-01-01 18:07:02,F,1981-10-21,Bolivia,585.633.3274,Jasmine,Brown,Jasmine.Brown@gmail.com,GB65VIFE17000889942353,Jasmine,Brown,08/25
"Polychnitos Lesvou, Greece (PLC)","KORONE MESSENIAS, Greece (756)",ADAMANTIOS KORAIS,ANE KALYMNOU,8.0,1.0,Cabin-2 Beds [A2K],242.0,College Student,87.29316349959342,2003-05-30,15:16:45,1900-01-01 23:31:45,F,1988-05-07,Guatemala,(530)899-1049,Tonya,Huber,Tonya.Huber@gmail.com,GB65ITTS76660469414115,Tonya,Huber,05/27
"Ios, Greece (IOS)","Agios Konstantinos, Greece (AKO)",NISOS KALIMNOS,TWOWAY FERRIES,7.0,7.0,Cabin-2 Beds [A2K],120.0,Retired NAT,14.74256637728803,1995-09-11,09:23:37,1900-01-01 21:44:37,M,1986-04-29,New Caledonia,566-526-5393,Seth,Evans,Seth.Evans@gmail.com,GB16XGSA49573490629724,Seth,Evans,06/23
"Eleftheres, Greece (ELT)","Petra, Greece (PLV)",F/B PORFYROUSA,SAOS,6.0,1.0,Cabin-2 Beds (Ext.) [A2],12.0,No discount,69.52153061194473,1977-03-08,19:31:59,1900-01-02 14:43:59,F,1985-01-15,Bahamas,0440813941,Jaclyn,Mccarthy,Jaclyn.Mccarthy@gmail.com,GB74WRFX46214495455573,Jaclyn,Mccarthy,09/27
"Saint George, Greece (SGB)","PISO LIVADI PAROS, Greece (857)",ACHAIOS,TWOWAY FERRIES,2.0,1.0,Cabin-3 Beds (Ext.) [A3],302.0,Having many children,51.64827514070415,1984-07-11,21:33:26,1900-01-02 03:06:26,M,1980-02-24,Brazil,+1-533-138-9220,Michael,Jones,Michael.Jones@gmail.com,GB18DPSV96842987817040,Michael,Jones,05/24
"Agria, Greece (AGA)","Paxi, Greece (PAX)",HELLENIC HIGHSPEED,IONION PELAGOS NE,3.0,3.0,Cabin-3 Beds (Ext.) [A3],113.0,Having many children,67.54529886638252,1971-11-03,09:13:37,1900-01-01 21:43:37,M,1972-04-17,Swaziland,3115052362,Edgar,Rodriguez,Edgar.Rodriguez@gmail.com,GB65YESP26177075800538,Edgar,Rodriguez,04/28
"Syros (Syra), Greece (JSY)","Tilos, Greece (TIL)",FIOR DI LEVANTE,ALPHA LINES,2.0,2.0,Cabin-4 Beds [A4K],201.0,No discount,34.823695617887005,2023-07-31,21:57:16,1900-01-02 06:03:16,F,1973-05-26,Korea,812.248.1735,Cindy,Moreno,Cindy.Moreno@gmail.com,GB55TDWL46788243505457,Cindy,Moreno,12/30
"MOKHLOS SETEIAS, Greece (782)","Xirokambion, Greece (XKB)",MEGAJET,KATEROS,9.0,3.0,Cabin-4 Beds [A4K],59.0,No discount,26.273950509504697,1971-02-14,16:28:08,1900-01-02 08:33:08,F,1986-04-06,Niger,407-274-9089,Natalie,Jones,Natalie.Jones@gmail.com,GB91QMJK38459989802080,Natalie,Jones,05/24
"Lixuri, Greece (LIX)","Chios, Greece (JKH)",DIONYSIOS SOLOMOS,AGIA MARINI NE,8.0,8.0,Cabin-4 Beds [AB4],344.0,No discount,18.100235264883892,1994-06-13,14:08:49,1900-01-02 00:31:49,M,1981-04-29,Western Sahara,474-085-1625,Nicholas,Smith,Nicholas.Smith@gmail.com,GB58OGWB89017139706630,Nicholas,Smith,10/32
"Agia Marina Lerou, Greece (AML)","Glyfada Saronikou, Greece (GFD)",POWER JET,GOUTOS LINES,8.0,7.0,Cabin-2 Beds (Ext.) [AA2],133.0,College Student,45.4144303496609,2016-09-07,18:43:51,1900-01-02 05:43:51,F,1989-10-01,Japan,(962)233-8104,Audrey,Monroe,Audrey.Monroe@gmail.com,GB06BWHP03397115281819,Audrey,Monroe,06/25
"Agios Nikolaos, Kriti, Greece (ANI)","Agnontas Skopelos, Greece (ANL)",FAST FERRIES ANDROS,SAOS,8.0,8.0,Deck/Living Room [D] ,433.0,Retired NAT,62.42432521432652,1972-12-19,08:54:40,1900-01-02 04:40:40,F,1996-01-31,Singapore,112-384-8064,Cheryl,Anderson,Cheryl.Anderson@gmail.com,GB80XDWA33877655039293,Cheryl,Anderson,09/27
"Perama, Greece (PER)","PUDNA PIERIAS, Greece (823)",MARE DI LEVANTE,AEGEAN FLYING DOLPHINS,6.0,5.0,Aviation Seat [ATS],365.0,Hoplites,23.51690941404008,2013-07-08,22:02:46,1900-01-02 07:33:46,M,1990-08-28,Martinique,001-850-656-4006,Jacob,Mercer,Jacob.Mercer@gmail.com,GB32VQHX57227700067078,Jacob,Mercer,10/32
"Aspropirgos, Greece (ASS)","Drepano Riou, Greece (DRE)",DODEKANISOS PRIDE,SARONIC FERRIES,4.0,5.0,Cabin-4 Beds (Ext.) [A4],305.0,Retired NAT,64.66268696159209,2006-05-28,13:27:04,1900-01-02 08:32:04,M,1999-06-11,Zambia,(245)470-9986,Christopher,Martin,Christopher.Martin@gmail.com,GB85UZOM38383427800039,Christopher,Martin,11/32
"Trypiti Chalkidikis, Greece (TRY)","Methoni, Greece (MET)",AQUA BLUE,SEA SPEED FERRIES,3.0,2.0,Cabin-2 Beds (Ext.) [A2],472.0,Hoplites,37.68433779727861,1980-10-16,19:20:48,1900-01-02 08:19:48,F,1990-06-21,Armenia,0798843602,Julia,Reid,Julia.Reid@gmail.com,GB08FHHB85468669000972,Julia,Reid,06/30
"Arkioi Dodekanissou, Greece (ARD)","Ancona, Greece (ITAOI)",SUPERFAST XI,SEAJETS,2.0,2.0,Aviation Seat [ATS],4.0,No discount,53.15660141288892,1973-07-24,12:32:21,1900-01-01 16:29:21,M,2003-02-01,Tunisia,(137)135-3723,Matthew,Miller,Matthew.Miller@gmail.com,GB86FTCO23418892644763,Matthew,Miller,08/30
"Paloukia, Greece (PAO)","PANORMITES SUMES, Greece (088)",FLYING DOLPHIN 19,MIKRES KYKLADES,8.0,6.0,Cabin-4 Beds [AB4],216.0,Three Children,73.78788958352797,2004-02-27,04:40:04,1900-01-01 12:51:04,M,1984-03-26,Afghanistan,1621620678,Troy,Sanders,Troy.Sanders@gmail.com,GB35GDBS88350545169343,Troy,Sanders,04/30
"Vathy (Port Vathy), Greece (VTH)","Pylos, Greece (PYL)",BLUE STAR 1,SEAJETS,4.0,5.0,Deck/Living Room [D] ,304.0,Hoplites,66.586707378194,2011-01-21,16:15:19,1900-01-02 11:11:19,F,1985-07-22,Samoa,9302924761,Bonnie,Sweeney,Bonnie.Sweeney@gmail.com,GB62CFAN41797963005387,Bonnie,Sweeney,02/24
"Brindisi, Greece (ITBDS)","Ios, Greece (IOS)",BLUE STAR NAXOS,ANEK LINES,3.0,1.0,Aviation Seat [ATS],398.0,College Student,34.837360932254555,1971-02-02,03:17:44,1900-01-01 13:58:44,F,1972-10-15,Venezuela,(801)742-0213,Margaret,Green,Margaret.Green@gmail.com,GB55TLOC91580123685664,Margaret,Green,12/30
"Drapetzona, Greece (DPA)","Plataria, Greece (PTI)",APOLLON HELLAS,TRITON FERRIES,10.0,1.0,Aviation Seat [ATS],105.0,No discount,43.46981214038516,2004-01-28,23:59:21,1900-01-02 12:47:21,M,1978-03-29,New Zealand,0326462526,Stephen,Juarez,Stephen.Juarez@gmail.com,GB37EOMD39638404574683,Stephen,Juarez,01/30
"Plakias Rethimnou, Greece (ALG)","Kalamata, Greece (KLX)",FOIVOS,SARONIC FERRIES,9.0,9.0,Cabin-2 Beds (Ext.) [AA2],367.0,Having many children,55.83476163727496,2005-01-03,09:18:41,1900-01-01 22:38:41,F,1985-01-09,Armenia,(548)005-1408,Shannon,Blankenship,Shannon.Blankenship@gmail.com,GB71DVYP35525629790589,Shannon,Blankenship,05/32
"Kea (Tzia), Greece (KEA)","Larymna, Greece (LRY)",CORFU SPIRIT,KARISTIA,10.0,9.0,Cabin-4 Beds [AB4],167.0,Hoplites,15.100474940561508,1979-04-24,11:14:51,1900-01-01 18:33:51,F,2003-03-31,New Zealand,905-899-9592,Melanie,Hester,Melanie.Hester@gmail.com,GB78ZTOD17694464154356,Melanie,Hester,05/27
"Psakhna, Greece (PSA)","Pelasyia, Greece (PEL)",POSEIDON HELLAS,FAST FERRIES,10.0,2.0,Cabin-2 Beds (Ext.) [AA2],65.0,Hoplites,98.19914315201689,1986-09-07,08:08:11,1900-01-02 02:05:11,M,1976-08-03,United States Minor Outlying Islands,001-751-491-4665,Jacob,Stevenson,Jacob.Stevenson@gmail.com,GB83MOJK18760956648786,Jacob,Stevenson,02/31
"Agio Theodoroi, Greece (AGT)","Sami, Greece (SAI)",PANAGIA SPILIANI,SAOS,7.0,4.0,Aviation Seat [ATS],469.0,Hoplites,10.051699988748389,2022-08-09,11:09:30,1900-01-02 05:21:30,M,1993-07-07,Niger,565.684.5686,Michael,Guerrero,Michael.Guerrero@gmail.com,GB87EXRF69434181641932,Michael,Guerrero,07/24
"Ermioni, Greece (ERM)","Heraklion (Iraklion), Greece (HER)",F/B KIDON,ANES FERRIES,8.0,2.0,Deck/Living Room [D] ,12.0,College Student,52.026448296963245,2019-10-12,11:09:59,1900-01-02 04:39:59,M,1999-07-13,Mexico,001-777-569-8806,Jacob,George,Jacob.George@gmail.com,GB12ZEED52002959061443,Jacob,George,11/23
"Paleohora Sfakion, Greece (PSF)","PORTO KARRA KHALKIDIKES, Greece (854)",ARIADNI,ΑΤΤΙCA GROUP,1.0,1.0,Cabin-2 Beds (Ext.) [AA2],188.0,College Student,43.88544043344162,1976-03-22,06:47:03,1900-01-01 17:38:03,M,1994-08-21,Haiti,+1-512-407-7952,George,Garcia,George.Garcia@gmail.com,GB17QHSA16416084915701,George,Garcia,05/27
"Nea Artaki, Greece (NAR)","Brindisi, Greece (ITBDS)",AQUA BLUE,GOUTOS LINES,9.0,6.0,Cabin-2 Beds (Ext.) [AA2],207.0,Hoplites,44.76653410230285,1990-03-23,03:03:49,1900-01-01 06:53:49,M,1983-08-02,Paraguay,7025926416,Nicholas,Thompson,Nicholas.Thompson@gmail.com,GB91LTZL44289434108098,Nicholas,Thompson,05/23
"Nafplion, Greece (NAF)","MARONEIA AG. KHARALAMPOU, Greece (099)",NISOS SAMOS,MINOAN LINES,8.0,5.0,Cabin-2 Beds (Ext.) [A2],245.0,Hoplites,86.50410883711886,2001-03-15,21:25:55,1900-01-02 14:34:55,M,1994-03-14,Mali,0406983084,Tyler,Miller,Tyler.Miller@gmail.com,GB78BSTP31126882492959,Tyler,Miller,02/30
"Myrtos Beach, Greece (MYB)","AGIOS IOANNES MAGNESIAS, Greece (705)",F/B KRITI II,TWOWAY FERRIES,6.0,3.0,Cabin-2 Beds (Ext.) [A2],360.0,No discount,14.567634394226474,2010-04-22,08:58:46,1900-01-01 18:14:46,M,2004-03-06,Yemen,+1-465-759-3519,Todd,Adams,Todd.Adams@gmail.com,GB81RDTT94442337441786,Todd,Adams,10/30
"Kiparissia, Greece (KIP)","Astros, Greece (ARS)",ZEFYROS,TWOWAY FERRIES,2.0,1.0,Deck/Living Room [D] ,453.0,Three Children,69.16626585482157,2008-04-10,14:44:35,1900-01-02 07:09:35,M,2004-11-13,Mayotte,001-920-133-8554,Jaime,Murray,Jaime.Murray@gmail.com,GB08ZIVQ95153427114511,Jaime,Murray,03/33
"Astakos, Greece (AST)","Potamos Antikithera, Greece (POA)",FAST FERRIES ANDROS,ΑΤΤΙCA GROUP,10.0,8.0,Cabin-2 Beds (Ext.) [A2],22.0,Three Children,39.8854529051287,2009-12-18,17:34:15,1900-01-02 01:25:15,M,1995-02-20,Ethiopia,501.130.0988,Adam,Sandoval,Adam.Sandoval@gmail.com,GB92TCRP92751542135314,Adam,Sandoval,05/27
"Khora Sfakion, Greece (CSF)","Katapola, Greece (KTP)",F/B KRITI II,KATEROS,4.0,1.0,Cabin-3 Beds [AB3],295.0,No discount,93.28797986823434,1989-07-12,10:54:18,1900-01-01 18:51:18,F,2002-05-06,Guam,8288958555,Patricia,Clark,Patricia.Clark@gmail.com,GB03IBMO18642262413194,Patricia,Clark,10/32
"Neon Karlovasion, Greece (KAR)","Lindos Rodou, Greece (LDR)",BLUE STAR CHIOS,TWOWAY FERRIES,9.0,6.0,Deck/Living Room [D] ,335.0,Retired NAT,54.799777886887064,2003-10-01,11:28:20,1900-01-02 06:06:20,M,1980-06-21,Albania,444-500-7584,Maurice,Mayer,Maurice.Mayer@gmail.com,GB69BWBE62972740083573,Maurice,Mayer,10/27
"KOULOURA AIGIOU, Greece (760)","Lakkion, Greece (PKK)",WORLDCHAMPION JET,ANEK LINES,7.0,4.0,Cabin-2 Beds (Ext.) [AA2],332.0,College Student,45.80738055448853,2018-01-10,20:59:32,1900-01-02 05:13:32,M,1979-12-09,Brazil,8112398650,Jose,Conway,Jose.Conway@gmail.com,GB23RJTE93207296766518,Jose,Conway,04/24
"Limni, Greece (LII)","Kardamaina Kos, Greece (KRM)",MENEKRATIS,KARISTIA,7.0,8.0,Deck/Living Room [D] ,118.0,No discount,30.607177260285788,2018-04-25,12:43:23,1900-01-02 06:42:23,M,1972-12-25,Kazakhstan,(039)072-4483,Thomas,Garrison,Thomas.Garrison@gmail.com,GB52XFMR61396732321679,Thomas,Garrison,12/31
"Amfilochia, Greece (AMF)","Agnontas Skopelos, Greece (ANL)",EXPRESS SKIATHOS,TWOWAY FERRIES,2.0,1.0,Cabin-2 Beds (Ext.) [A2],457.0,Having many children,18.61217556823887,2006-01-15,14:22:53,1900-01-02 01:42:53,F,1976-09-05,Singapore,087.522.8789,Kristin,Gonzalez,Kristin.Gonzalez@gmail.com,GB14HGGY54754027625148,Kristin,Gonzalez,03/23
"Vathy (Port Vathy), Greece (VTH)","Elafonissos Lakonias, Greece (ELN)",KALYMNOS DOLPHIN,DODEKANISSOS SEAWAYS,5.0,5.0,Cabin-4 Beds (Ext.) [A4],464.0,Three Children,23.261187297328654,1999-07-30,04:21:22,1900-01-01 18:39:22,M,1983-12-15,Palestinian Territory,001-734-265-8779,John,Gonzalez,John.Gonzalez@gmail.com,GB61PUFW47469525245493,John,Gonzalez,11/30
"Siteia, Greece (JSH)","Skaloma, Greece (SKM)",NISOS KALIMNOS,NOVA FERRIES,5.0,5.0,Cabin-3 Beds [AB3],301.0,Having many children,29.187933594985168,2009-09-03,23:35:13,1900-01-02 16:24:13,F,1992-09-16,Korea,804.592.1804,Teresa,Martinez,Teresa.Martinez@gmail.com,GB45KLIO72052809299199,Teresa,Martinez,04/26
"Koilas Ermionidos, Greece (KIN)","Shinari Zakynthou, Greece (SHI)",FLYINGCAT 6,AEGEAN FLYING DOLPHINS,4.0,2.0,Cabin-2 Beds (Ext.) [A2],74.0,Three Children,35.185601354988165,2017-04-05,03:10:05,1900-01-01 09:24:05,M,1983-09-19,Northern Mariana Islands,686-766-6769,Michael,Thompson,Michael.Thompson@gmail.com,GB47CNIA61337574890380,Michael,Thompson,01/30
"Mesta Hiou, Greece (MHI)","Aigiali Amorgou, Greece (AIG)",AERO 1 HIGHSPEED,TRITON FERRIES,3.0,1.0,Cabin-2 Beds (Ext.) [A2],364.0,Having many children,88.20197304938526,1994-05-04,06:00:20,1900-01-01 23:40:20,F,1986-08-15,Sierra Leone,001-510-163-7285,Erica,Douglas,Erica.Douglas@gmail.com,GB91AONV30937817145205,Erica,Douglas,09/28
"Kiato, Greece (KIO)","Kato Achaia, Greece (KAH)",SUPERRUNNER JET,SARONIC FERRIES,7.0,7.0,Cabin-3 Beds [AB3],235.0,No discount,63.80215671076197,1999-03-06,04:47:30,1900-01-01 11:01:30,M,1982-01-23,Madagascar,199.069.8647,Devin,Fernandez,Devin.Fernandez@gmail.com,GB05JSFT29441435911643,Devin,Fernandez,09/28
"Kimasi, Greece (KYM)","Patras, Greece (GPA)",BLUE CARRIER 1,SEA SPEED FERRIES,4.0,5.0,Cabin-4 Beds [A4K],465.0,No discount,84.5879083376673,2003-11-12,23:53:54,1900-01-02 08:34:54,M,1996-05-13,Niger,829.380.4015,Jeremy,Norman,Jeremy.Norman@gmail.com,GB07RDND17307317602019,Jeremy,Norman,11/28
"PURGOS KARUSTIAS EUBOIAS, Greece (824)","Siteia, Greece (JSH)",FLYING DOLPHIN 19,AGIA MARINI NE,3.0,3.0,Deck/Living Room [D] ,382.0,College Student,29.251978012909817,2001-03-24,18:27:29,1900-01-01 22:39:29,F,2000-09-06,Pitcairn Islands,(248)707-3857,Rhonda,Hooper,Rhonda.Hooper@gmail.com,GB16SQTD36949783959976,Rhonda,Hooper,04/31
"Ios, Greece (IOS)","Pessada Kefallinnias, Greece (PSK)",PROTEAS,ΑΤΤΙCA GROUP,9.0,4.0,Cabin-2 Beds (Ext.) [A2],48.0,Having many children,53.510125163798264,2023-05-13,13:11:59,1900-01-01 14:51:59,F,1991-12-18,Indonesia,004-442-8430,Natasha,Peterson,Natasha.Peterson@gmail.com,GB15BWER96591024022203,Natasha,Peterson,04/25
"Gythion, Greece (GYT)","Aigiali Amorgou, Greece (AIG)",AERO 2 HIGHSPEED,LEBANTE FERRIES,8.0,8.0,Cabin-3 Beds [AB3],150.0,Having many children,55.3608417385731,1988-02-25,04:39:59,1900-01-01 19:43:59,M,1972-08-28,Afghanistan,198-973-0256,Bradley,Burgess,Bradley.Burgess@gmail.com,GB96BBGP75434914428359,Bradley,Burgess,05/24
"PORTO LAPHIA EUBOIAS, Greece (821)","Vathy (Port Vathy), Greece (VTH)",SEMPEKO,ALPHA LINES,6.0,3.0,Cabin-4 Beds [A4K],411.0,College Student,86.68348117339303,1983-12-06,22:22:37,1900-01-02 16:27:37,F,1985-12-20,Cocos (Keeling) Islands,794-105-9508,Nicole,Carter,Nicole.Carter@gmail.com,GB12LDOX35626722586033,Nicole,Carter,01/27
"Palaia Fokaia, Greece (PFA)","Ierissos, Greece (IES)",AERO 1 HIGHSPEED,SEA SPEED FERRIES,3.0,4.0,Cabin-3 Beds (Ext.) [A3],71.0,Having many children,52.01852601300814,2010-09-16,10:32:45,1900-01-01 19:29:45,F,1998-05-15,Uruguay,+1-362-608-7369,Cindy,Dillon,Cindy.Dillon@gmail.com,GB82KLEP66495117244547,Cindy,Dillon,06/25
"Arkioi Dodekanissou, Greece (ARD)","Phserimos Dodekanisou, Greece (PSE)",MEGAJET,ALPHA LINES,3.0,3.0,Cabin-4 Beds [A4K],448.0,No discount,79.40077219539805,2015-03-22,17:18:39,1900-01-01 23:58:39,M,2001-04-28,Isle of Man,447-673-2450,Benjamin,Ross,Benjamin.Ross@gmail.com,GB38ARNB88958572572000,Benjamin,Ross,04/25
"Skopelos, Greece (SKO)","Mesta Hiou, Greece (MHI)",BLUE STAR DELOS,ANEK LINES,4.0,1.0,Cabin-4 Beds (Ext.) [A4],215.0,College Student,37.79083459276796,1984-06-07,08:09:00,1900-01-01 10:27:00,F,1975-06-17,Comoros,463.294.4922,Lisa,Daniel,Lisa.Daniel@gmail.com,GB86PBEZ20546944138996,Lisa,Daniel,09/26
"Diakofti Kythiron, Greece (DIK)","Agios Stefanos Corfu, Greece (ASF)",SPORADES STAR,ANE KALYMNOU,10.0,11.0,Cabin-2 Beds (Ext.) [A2],471.0,No discount,31.316395147184032,2017-06-18,04:17:40,1900-01-01 19:41:40,F,1998-09-17,Czech Republic,(891)371-7698,Jennifer,Marsh,Jennifer.Marsh@gmail.com,GB88LSHT77775821367527,Jennifer,Marsh,06/24
"Pylos, Greece (PYL)","Vathy (Port Vathy), Greece (VTH)",HELLENIC HIGHSPEED,ANEK LINES,7.0,3.0,Cabin-4 Beds [AB4],85.0,Three Children,63.81577123799311,1984-07-20,15:19:34,1900-01-02 11:15:34,F,1988-10-21,Slovenia,0879295097,Sabrina,Hunter,Sabrina.Hunter@gmail.com,GB23QOZL67936442784050,Sabrina,Hunter,03/28
"Salamis, Greece (SAL)","Kerkira (Corfu), Greece (CFU)",FLYINGCAT 3,ANEK LINES,9.0,6.0,Cabin-3 Beds [AB3],82.0,Having many children,75.81999161435095,2011-12-19,11:33:40,1900-01-02 03:53:40,F,1977-12-08,Thailand,(506)096-5104,Gabrielle,Burton,Gabrielle.Burton@gmail.com,GB67NYOE40570182317611,Gabrielle,Burton,10/32
"Revithoussa, Greece (REV)","Agia Efimia, Greece (AEF)",FAST FERRIES ANDROS,KATEROS,1.0,1.0,Cabin-2 Beds (Ext.) [A2],83.0,Hoplites,18.554710799982416,2004-02-25,01:50:21,1900-01-01 05:33:21,M,1974-05-12,Guernsey,+1-004-008-4809,William,Cunningham,William.Cunningham@gmail.com,GB78ILQU10343614328418,William,Cunningham,09/23
"Thessi Kyrillo, Greece (TKO)","Mathraki Diapontioi Island, Greece (MTR)",SPEEDCAT 1,KARISTIA,5.0,3.0,Deck/Living Room [D] ,489.0,Having many children,55.79276374465865,1992-03-28,15:43:11,1900-01-02 07:51:11,F,2002-05-23,Ukraine,+1-986-643-0645,Kristy,Moore,Kristy.Moore@gmail.com,GB95UQGI07012618195395,Kristy,Moore,02/27
"NEA PERAMOS, Greece (902)","Agios Nikolaos Fokidas, Greece (AGF)",IONION PELAGOS,GOUTOS LINES,10.0,1.0,Cabin-3 Beds [AB3],442.0,Hoplites,16.830459132992743,1978-10-15,21:50:42,1900-01-01 22:53:42,M,1973-02-08,Poland,(351)478-7861,Michael,Adams,Michael.Adams@gmail.com,GB20BSRE99297073434589,Michael,Adams,11/31
"PLAKIAS RETHIMNOU (OLD LOCODE), Greece (855)","Patras, Greece (GPA)",EXPRESS SKOPELITIS,KATEROS,2.0,3.0,Cabin-2 Beds [A2K],371.0,Hoplites,34.4855582570562,2020-09-19,21:54:58,1900-01-02 16:04:58,M,1978-12-02,Uruguay,649-715-1577,Jared,Scott,Jared.Scott@gmail.com,GB65VOPL54244707849072,Jared,Scott,07/32
"Katapola, Greece (KTP)","Koufonissia Kykladon, Greece (KOF)",ARTEMIS,DODEKANISSOS SEAWAYS,5.0,3.0,Cabin-2 Beds (Ext.) [AA2],316.0,College Student,65.56104195563634,1972-09-01,17:10:35,1900-01-02 08:05:35,F,2004-12-16,Latvia,082-270-2576,Valerie,Short,Valerie.Short@gmail.com,GB66YTJQ52295579755647,Valerie,Short,06/25
"Neon Karlovasion, Greece (KAR)","MAKRE EBROU, Greece (770)",PSARA GLORY,DODEKANISSOS SEAWAYS,9.0,6.0,Cabin-4 Beds [A4K],42.0,No discount,16.30300735510975,2015-06-22,15:09:09,1900-01-01 16:19:09,F,1978-11-01,Egypt,+1-659-889-6378,Cynthia,Vincent,Cynthia.Vincent@gmail.com,GB42SPEL85694945868635,Cynthia,Vincent,01/29
"Politika, Greece (PTK)","PALAIROS AITOLOAKARNANIAS, Greece (803)",SMYRNA DI LEVANTE,DODEKANISSOS SEAWAYS,8.0,2.0,Cabin-4 Beds (Ext.) [A4],252.0,No discount,81.14882628915585,2013-01-24,23:52:07,1900-01-02 18:03:07,M,2001-11-14,Kyrgyz Republic,7176246114,Jason,Sloan,Jason.Sloan@gmail.com,GB61CWNQ39975470229118,Jason,Sloan,06/25
"PORTO LAPHIA EUBOIAS, Greece (821)","Plomarion, Greece (PLM)",TERA JET,MIKRES KYKLADES,1.0,2.0,Cabin-3 Beds [AB3],385.0,Retired NAT,89.08218292735634,1993-01-08,20:44:43,1900-01-02 01:17:43,M,1981-09-17,Svalbard & Jan Mayen Islands,148-582-8850,Shawn,Wilkerson,Shawn.Wilkerson@gmail.com,GB40IYSX79423189672467,Shawn,Wilkerson,04/24
"KUPARISSI LAKONIAS, Greece (762)","Aktio Vonitsas, Greece (AKT)",SEAJET2,SEAJETS,6.0,5.0,Cabin-4 Beds [A4K],478.0,College Student,69.59914379493594,1992-05-04,04:21:02,1900-01-01 18:22:02,M,1974-12-28,Ethiopia,(537)207-7330,John,Chen,John.Chen@gmail.com,GB85XDYG35955981068529,John,Chen,06/29
